,A,ModR
set10IT025,-0.3397266126079815,0.01
set10IT026,0.3588295725190828,0.073
set10IT027,-0.4163321378168113,0.13
set10IT028,0.4206796986451494,-0.007
set10IT029,0.2444897519361351,0.096
set10IT031,-0.0363140846450822,0.203
set10IT032,0.6410792229431003,0.088
set10IT033,0.4012735340744275,-0.022
set10IT034,0.2367261238153276,0.267
set10IT035,-0.1471332869750324,0.147
set10IT036,0.3965974296822266,0.173
set10IT037,0.0700978476815992,-0.022
set10IT043,-0.1024606517038119,0.085
set10IT044,-0.2904820857349823,0.185
set10IT053,-0.8047122871785427,-0.435
set12IT001,-9.907976841332369,0.173
set12IT002,-1.017692135854655,0.062
set12IT004,-0.6329629343303648,-0.227
set12IT007,-1.4115981875831665,-0.039
set12IT008,-5.268463506467622,0.053
set12IT009,-2.1943474442057,0.326
set12IT014,-0.4721188715619135,-0.317
set12IT015,-0.3103886971179474,-0.054
set12IT016,-0.5770467416101481,-0.032
set12IT017,-0.9975141833913398,-0.337
set12IT023,-0.710371951373978,-0.02
set12IT024,-1.482189538916157,0.136
set12IT025,-1.1059015619266794,-0.088
set12IT026,-1.366848251733615,0.089
set12IT027,-0.4611013274848908,-0.362
set12IT028,-0.3056206008804205,-0.003
set12IT029,-0.6883170304508576,-0.092
set12IT031,-12.5900863455313,0.215
set12IT032,-1.384787641439781,0.087
set12IT034,-0.8443282877694278,-0.185
set12IT037,-1.833982339017728,-0.039
set12IT038,-4.223015847032815,0.401
set12IT039,-2.193159093615355,0.332
set12IT044,-1.463840096141367,-0.186
set12IT046,-0.810998067969213,-0.027
set12IT053,-1.361019911095651,-0.212
set12IT054,-0.8094869198063783,-0.24
set12IT055,-0.443281576635044,-0.015
set12IT056,-1.3359942850941096,-0.025
set12IT057,-0.0763199618749713,-0.133
set12IT058,0.1400155384819316,-0.152
set12IT059,-1.603561840609028,-0.208
set15IT054,-0.143069029088035,-0.036
set15IT057,-0.8201445208496176,0.096
set15IT058,-0.2491165753252174,0.069
set15IT059,-0.4332930311664045,0.002
set15IT060,0.5140088684518309,0.158
set15IT061,0.1619500195749163,0.324
set15IT062,-0.486098013553684,-0.209
set15IT063,-0.176699407027591,0.217
set15IT064,-0.1915441596141547,-0.184
set15IT065,0.278494027961067,-0.399
set15IT066,-0.1470049355471489,0.13
set15IT067,0.2763946777837091,-0.228
set15IT068,-1.0429816522385515,0.064
set15IT071,-1.617927868698695,0.016
set15IT072,-0.0726269075611674,0.066
set15IT073,-0.4364146259823677,-0.071
set15IT074,-0.4288867968871521,-0.079
set15IT075,0.3252323088941306,-0.033
set15IT076,0.2730891725877991,0.261
set15IT077,0.1120913052266055,0.17
set15IT078,-0.6222898636140903,0.173
set15IT079,-0.7131723732831097,0.038
set15IT080,0.4769646136665567,0.141
set15IT081,-0.0592733612682802,0.158
set16IT004,-0.6383594684500788,0.082
set16IT005,-1.117055791470006,0.174
set16IT006,-0.2243070983598999,0.003
set16IT007,-3.222131451154933,0.019
set16IT008,-0.6078507141146897,0.004
set16IT009,-0.873797948671237,-0.021
set16IT010,-0.0567941598492703,0.37
set16IT011,-2.3633217089976672,0.088
set16IT012,-0.5493274633438106,0.084
set16IT013,-0.746253405949074,0.123
set16IT014,-0.413077291346777,0.204
set16IT015,-0.088207505445696,-0.086
set27IT004,0.6874890117154284,0.014
set27IT005,0.0468171572982271,0.044
set27IT006,-0.5357539267879833,0.146
set27IT007,0.3115953590704919,-0.119
set27IT008,0.0319623266994454,0.018
set27IT009,-0.3440935088247081,0.233
set27IT010,-0.1542076949203235,0.038
set27IT011,-0.3020084595293221,-0.145
set27IT012,0.2892211724967933,-0.007
set27IT013,0.5882437077194171,-0.156
set27IT014,0.6456665089063187,0.008
set27IT015,0.4838839216198481,-0.197
set27IT016,-8.331776098543333,-0.077
set27IT017,-8.412569842945173,-0.156
set27IT018,-0.1322491706085451,-0.006
set27IT019,0.9188331057592616,-0.058
set27IT020,-0.1243987295323332,-0.159
set27IT021,-0.3465126681394708,-0.198
set27IT024,0.8490332616276777,-0.186
set27IT025,0.1352199746926554,-0.272
set27IT028,0.5628991464620108,-0.329
set27IT029,1.883302553712062,-0.156
set27IT030,0.0043758653010778,-0.108
set27IT031,0.0172541189248002,-0.145
set27IT032,0.3689683838473878,0.002
set27IT033,0.5133678414081264,-0.208
set27IT034,0.2443830187216199,-0.021
set27IT035,0.5214908812249304,-0.065
set27IT036,0.51878552784642,-0.02
set27IT037,0.7505818754914928,-0.143
set27IT038,-0.2845241524590637,-0.07
set27IT039,0.1635135302875452,-0.12
set27IT040,-0.0912492185418676,-0.006
set27IT041,0.4606907344711679,-0.01
set27IT042,0.7794576647843418,-0.066
set27IT043,0.800692124089338,-0.165
set27IT044,0.0136806360573244,-0.15
set27IT045,-0.0732490529422519,-0.137
set27IT046,0.7764436746690986,0.038
set27IT047,0.2919777633015958,0.017
set27IT048,0.3091235106856013,-0.013
set27IT049,-0.0609872339189924,-0.023
set27IT050,-0.1645905443075119,-0.246
set27IT051,0.3972846514726001,0.054
set27IT052,0.0342124677798451,-0.251
set27IT053,0.1959268481081144,-0.043
set27IT054,0.0290041826553259,0.076
set27IT055,-0.0057003312876954,0.005
set27IT056,0.3383144455744373,0.012
set27IT057,0.3389321143190005,0.045
set27IT058,1.0305254868533722,-0.048
set27IT059,0.2666739623159239,-0.002
set27IT060,0.1350949994652022,0.018
set27IT061,0.267445809972886,-0.19
set27IT062,0.1403690965824163,-0.099
set27IT063,-0.1555422400837687,-0.045
set27IT064,0.6164430267017357,0.035
set27IT065,0.0512194334692986,-0.07
set27IT066,-0.1029772935536734,0.043
set27IT067,0.5154918286303873,0.082
set27IT068,0.2338078074105238,0.091
set27IT069,0.941539988926674,-0.174
set27IT070,-0.0081074345848597,0.054
set27IT071,-0.1112428169242612,-0.134
set27IT072,0.019260014081722,-0.149
set27IT073,-0.22978272754478,-0.028
set28IT003,-0.2424453265662302,-0.028
set28IT004,-0.121395842172904,0.048
set28IT005,-0.4259235860845934,-0.062
set28IT006,-0.4263176775925453,0.035
set28IT007,-0.7222446001612155,0.068
set28IT008,-1.3796801505815823,-0.026
set28IT009,-0.6594769967568779,-0.105
set28IT010,-0.5755096138038234,0.043
set28IT013,-4.798964809852658,0.036
set28IT014,-3.5702352152982804,0.09
set28IT017,-0.4708046968627566,0.312
set28IT018,-0.2764649573672696,0.073
set28IT021,-0.2810694114201125,0.101
set28IT022,0.1068463271861775,-0.073
set28IT023,0.4201480239037387,0.205
set28IT024,-0.1185360418352139,-0.009
set28IT027,0.0930881258547501,-0.007
set28IT028,0.3836443690765205,0.036
set28IT029,0.792320207355964,0.075
set28IT030,-0.1607431063143383,0.062
set28IT031,0.2173002495224051,0.192
set28IT032,0.1694728775012308,0.077
set28IT035,-0.0322432639919606,0.043
set28IT036,0.2035915066144643,-0.116
set28IT037,-0.4393149021716821,0.043
set28IT038,-0.6438599117897954,-0.214
set28IT039,-0.7130029761167048,0.096
set28IT040,-0.0171635432946513,0.052
set28IT041,0.5150562357919225,0.123
set28IT042,-0.0153685438012614,0.161
set28IT045,-0.1338963231511439,0.174
set28IT046,-1.201860709841161,-0.019
set29IT004,-0.1093853777730252,0.534
set29IT005,-0.3867656391133248,0.077
set29IT006,0.3378200435975427,0.162
set29IT007,-0.1754655537495823,0.229
set29IT014,0.1380810081890061,0.237
set29IT015,0.1979125014841046,0.185
set29IT057,-0.5988576065554425,0.057
set29IT058,0.0183869348738051,-0.058
set100IT008,0.2250602002882132,-0.128
set100IT009,0.03313644370365,-0.231
set100IT010,-0.0399608044854305,-0.251
set100IT011,-0.2290563849554144,0.042
set100IT012,0.0123895131334256,-0.016
set100IT013,-0.2295893374869187,-0.032
set100IT014,0.1254620315326552,-0.063
set100IT015,-0.4134477271145084,0.142
set100IT016,0.0180297059231072,0.029
set100IT017,-12.779852064521622,0.185
set100IT018,-13.076662356045526,0.138
set100IT019,-10.094384224057832,-0.054
set100IT020,0.0765971007463921,-0.065
set100IT021,-0.0923356459215669,-0.04
set100IT022,-0.0040743901538674,-0.144
set100IT023,-7.323343379336536,0.056
set100IT024,-7.150371195067376,0.051
set100IT025,-7.792611856145373,-0.011
set100IT026,-0.2609274662514977,0.132
set100IT027,0.1535529114006363,0.12
set100IT028,-1.176063593201781,-0.069
set100IT029,-0.0809921578579485,-0.048
set100IT030,0.0023487539290039,0.063
set100IT031,-0.1373622570356243,-0.072
set100IT032,0.0944125363116449,0.05
set100IT033,-0.3570268415517496,0.032
set100IT034,0.0710028684112766,-0.259
set100IT035,-0.0311593073286359,0.021
set100IT036,-0.7321763239334805,-0.02
set100IT037,-0.2646209029909244,-0.101
set100IT038,-0.3187375890605665,0.071
set100IT039,0.2209688672178628,-0.252
set100IT040,-0.7731041750946456,-0.263
set100IT041,-1.3802480604891556,0.088
set100IT042,-1.4149394915002471,-0.008
set100IT043,-1.0458626165487213,0.011
set100IT044,-0.6339739852374154,-0.313
set100IT045,-0.4640054611480389,0.048
set100IT046,-0.2810025053143007,-0.357
set101IT007,0.1923127494762849,-0.192
set101IT008,0.2223285672916631,-0.114
set101IT009,0.3576193062201445,0.082
set101IT013,0.6057806853562699,-0.179
set101IT014,0.2574388275809384,-0.076
set101IT015,1.225948413722357,0.174
set101IT016,0.2298242530461088,-0.033
set101IT017,0.3313312733265938,-0.21
set101IT018,0.0493195398563468,0.062
set101IT019,0.3299125732679684,0.009
set101IT020,0.4761447436890582,0.035
set101IT021,-0.0966922022288362,-0.106
set101IT022,0.2159080797245608,-0.033
set101IT023,0.6081018574961082,-0.168
set101IT024,0.5481750400966565,-0.008
set101IT025,-0.1779015772946552,-0.371
set101IT026,-0.6501404018927746,-0.111
set101IT027,-0.6674076968368275,-0.075
set101IT028,0.1771270252000718,-0.038
set101IT029,0.8014861339723212,-0.252
set101IT030,0.5997104695070694,-0.077
set101IT031,0.2736210578776231,-0.371
set101IT032,0.5386525874415188,-0.236
set101IT033,0.3093594980693385,0.176
set101IT034,0.3111430265133319,-0.095
set101IT035,0.4481406289414816,-0.241
set101IT036,0.6451142650197182,-0.025
set101IT037,0.2424441912967679,-0.147
set101IT038,0.5363022430921977,0.022
set101IT039,0.295064193145545,-0.117
set101IT040,0.1756024920228362,-0.175
set101IT041,0.1726650841434195,-0.29
set101IT042,0.2893398009281826,0.019
set101IT043,0.0954744326282505,-0.136
set101IT044,0.3666526117472397,-0.118
set101IT045,0.0118805867604949,0.016
set101IT046,-0.7846515201165204,-0.062
set101IT047,-0.2430017562193072,-0.139
set101IT048,-0.3360613886961263,0.071
