,A,DctD-II
set10IT023,0.1256389597811609,0.141
set10IT024,0.2081643712106695,0.002
set10IT025,-1.157858584873456,0.029
set10IT026,0.5627733587200404,-0.033
set10IT027,0.3988478689840334,0.154
set10IT028,-0.0206846195115272,0.119
set10IT029,0.1029035180014121,0.101
set10IT031,0.1374201590789536,0.024
set10IT032,-0.3748650116639681,-0.398
set10IT033,-0.2742326612719397,-0.157
set10IT034,0.0503074220012177,-0.304
set10IT035,-0.1671969061899711,-0.134
set10IT036,-0.4343140414754537,-0.047
set10IT037,0.6430973286342188,0.175
set10IT043,-1.0577542559786328,0.132
set10IT044,-1.3894997842803665,0.056
set10IT053,-1.9612032990254136,-0.152
set12IT001,-0.9543113117062472,-0.377
set12IT002,-0.8642017268074285,-0.244
set12IT004,-1.7941655841699569,-0.038
set12IT007,-0.6730379266653622,-0.228
set12IT008,-1.2123584352974048,-0.206
set12IT009,-0.7365102824321168,-0.041
set12IT014,-0.8271943864248718,0.138
set12IT015,-1.472671743858945,-0.095
set12IT016,-1.309978507114264,-0.131
set12IT017,-1.5572944687700256,-0.242
set12IT023,0.059998823724004,-0.084
set12IT024,-1.379115323773,-0.47
set12IT025,-1.4587683161637814,-0.405
set12IT026,-2.5437302469113026,-0.106
set12IT027,-1.249278683477759,-0.155
set12IT028,7.733715876569239,2.665
set12IT029,-2.838798856227815,-0.61
set12IT031,-0.0055184704146292,-0.11
set12IT032,-1.0588709910301712,-0.1
set12IT034,-1.7720256708344784,0.005
set12IT037,-1.9008724314978005,-0.46
set12IT038,-1.4189981861418044,0.303
set12IT039,-1.2356364557265824,-0.308
set12IT044,-1.706535444752224,-0.195
set12IT046,-1.2201477770494242,-0.226
set12IT053,-0.1716434184786661,-0.229
set12IT054,-1.7618162165703797,-0.063
set12IT055,-0.6878159234860522,-0.096
set12IT056,-3.31899367350872,-0.228
set12IT057,-0.9282812358657716,-0.096
set12IT058,11.44812828319582,4.386
set12IT059,-2.314949084253055,-0.329
set15IT054,-1.5098206722462542,0.02
set15IT057,-0.4272969920241499,-0.019
set15IT058,-2.5790517303715093,-0.388
set15IT059,-2.569716432163387,-0.043
set15IT060,-2.1490431299720614,-0.465
set15IT061,-1.3777198079359834,-0.062
set15IT062,-2.380831380737251,-0.331
set15IT063,-1.4121642362343128,-0.073
set15IT064,-1.4177725999991184,-0.235
set15IT065,-2.3703666017761997,0.3
set15IT066,-1.19173523041594,0.441
set15IT067,-1.6744855735198,-0.264
set15IT068,-2.4082314799688853,-0.106
set15IT071,-1.761662728463522,-0.32
set15IT072,-2.411300405404152,-0.427
set15IT073,-2.5606161599541406,-0.438
set15IT074,-1.4566286771891692,-0.071
set15IT075,-1.6309868476691187,-0.126
set15IT076,-2.5353863016840865,-0.126
set15IT077,-2.390817895954679,-0.169
set15IT078,-2.241235616584913,-0.239
set15IT079,-1.7321282490311476,-0.639
set15IT080,-1.6278272129559244,-0.337
set15IT081,-2.2878590690992704,-0.102
set16IT004,-2.3360157294862893,-0.513
set16IT005,-2.391539455230693,-0.458
set16IT006,-2.6058547628023216,-0.429
set16IT007,-2.081875793333378,-0.563
set16IT008,-2.085140878748668,-0.275
set16IT009,-1.714603741045974,-0.312
set16IT010,-4.177081326585539,-1.109
set16IT011,-3.948184292456405,-0.651
set16IT012,-1.8658518401379909,-0.525
set16IT013,-1.7216564202186104,-0.523
set16IT014,-1.938511290977675,-0.303
set16IT015,-1.9968699594285215,-0.358
set27IT004,-2.096030932043923,-0.06
set27IT005,-1.8661631188479637,-0.28
set27IT006,-0.0062135375445689,-0.018
set27IT007,-0.8128315394512069,-0.179
set27IT008,-1.0261634555413133,-0.039
set27IT009,-1.328087930849965,0.104
set27IT010,-1.285549789293534,-0.296
set27IT011,-0.4695719436351673,-0.243
set27IT012,-1.0392648397253152,-0.016
set27IT013,-0.6787677346270412,0.072
set27IT014,-1.188235266966748,-0.076
set27IT015,-0.9892514125579076,-0.028
set27IT016,-1.8975901402930424,0.073
set27IT017,-1.644961859150405,-0.27
set27IT018,-1.017526644121047,-0.023
set27IT019,-0.9646084325879712,-0.277
set27IT020,-0.6345195355229006,-0.153
set27IT021,-0.4915175361656434,-0.408
set27IT024,0.22537767698284,0.314
set27IT025,-0.3009090587472887,0.241
set27IT028,8.39337631699652,1.923
set27IT029,9.03172523551574,2.891
set27IT030,-1.2875824358518837,-0.201
set27IT031,-1.520585310210346,-0.018
set27IT032,-1.0444611971572817,0.139
set27IT033,-1.262718765520146,0.228
set27IT034,-0.5653629685751852,-0.297
set27IT035,-0.7358892983318434,-0.075
set27IT036,-1.6023874912810496,-0.024
set27IT037,-1.2510968983101918,0.004
set27IT038,1.6476497641979384,0.79
set27IT039,2.049213665188096,1.206
set27IT040,-1.130045993680383,0.462
set27IT041,-0.3964432563638418,0.476
set27IT042,-0.6960365493035762,0.176
set27IT043,-1.0395009293649886,-0.179
set27IT044,0.7070487770582794,0.518
set27IT045,0.787233822921158,0.805
set27IT046,-1.7058174900824514,-0.337
set27IT047,-1.3703194161425891,-0.266
set27IT048,-1.3980494027860395,-0.674
set27IT049,-1.184164957277022,-0.433
set27IT050,-1.9771735190855888,-0.093
set27IT051,-1.2750313142645937,0.153
set27IT052,0.5008233934802714,0.325
set27IT053,-0.0287481686654834,0.286
set27IT054,-1.452130448643738,-0.369
set27IT055,-1.1475778310810874,-0.325
set27IT056,-1.117797912481757,-0.486
set27IT057,-1.1297935110517223,-0.219
set27IT058,0.197615553142492,-0.078
set27IT059,0.2183879256982901,0.247
set27IT060,-0.7884093581431384,0.074
set27IT061,-1.2945076850707216,0.02
set27IT062,-1.1064751161582782,-0.041
set27IT063,-1.2896328736539675,-0.192
set27IT064,-0.8299752201201767,-0.206
set27IT065,-0.5616160916630087,-0.022
set27IT066,-1.3192279839785834,0.233
set27IT067,-1.6639975225191994,-0.183
set27IT068,-1.3035324770510257,-0.206
set27IT069,-2.2097854038405123,-0.532
set27IT070,-1.7647006196087835,0.045
set27IT071,-1.7252814513604195,-0.09
set27IT072,-1.1958713468776774,-0.105
set27IT073,-1.1128319240947506,-0.278
set28IT003,-1.2545123271215697,-0.084
set28IT004,-1.720077032064841,-0.449
set28IT005,-0.2337257049681661,-0.024
set28IT006,-0.3908729745325194,-0.074
set28IT007,-1.8469221578117625,-0.314
set28IT008,-1.7511749546112458,-0.305
set28IT009,-0.2347170899362397,0.121
set28IT010,-0.4364050696232738,0.245
set28IT013,-0.497622656129203,-0.154
set28IT014,-0.5426821910527584,-0.177
set28IT017,-0.3925662826723501,0.587
set28IT018,-0.8229664985553289,-0.452
set28IT021,-0.3722389067547774,-0.166
set28IT022,-0.6683392000353722,0.144
set28IT023,-0.030996275676427,-0.302
set28IT024,-0.907434860684058,0.116
set28IT027,0.6681923571337252,0.345
set28IT028,0.426497736818557,0.173
set28IT029,0.0480070066288222,-0.094
set28IT030,-0.0948989811911907,0.361
set28IT031,-0.3934959789483059,0.001
set28IT032,-0.0267432137355593,0.075
set28IT035,-0.2145381718360272,0.023
set28IT036,0.0537791174256386,-0.037
set28IT037,-0.0917961602119552,0.041
set28IT038,-0.0291840169817902,0.068
set28IT039,-0.8013754026627001,-0.149
set28IT040,-0.8393436132986308,-0.112
set28IT041,0.8670679654189201,0.084
set28IT042,0.4919166397744707,0.418
set28IT045,3.958432649624295,2.427
set28IT046,3.41162810365135,1.986
set29IT004,-0.7422258120430345,0.196
set29IT005,-0.8512749313657852,0.084
set29IT006,-1.050752633138837,-0.06
set29IT007,-0.8778155514198122,-0.241
set29IT014,-1.3181847109714624,-0.091
set29IT015,-0.970550984805976,0.279
set29IT057,-0.2894681988514501,-0.477
set29IT058,-0.515862108534143,0.337
set100IT008,-1.799868496286784,-0.145
set100IT009,-1.323323077758822,0.159
set100IT010,-1.6449643876965896,0.195
set100IT011,-1.1896614261166412,-0.402
set100IT012,-0.7875471938158308,-0.036
set100IT013,-1.2406714685249676,0.077
set100IT014,-1.1371118251426695,-0.336
set100IT015,-0.8687969437173849,0.026
set100IT016,-0.983678018643063,0.311
set100IT017,-1.572332322151465,-0.377
set100IT018,-0.8902525541920829,-0.135
set100IT019,-1.350117828139774,0.145
set100IT020,-1.1279958663844858,-0.542
set100IT021,-0.7776196141761809,0.075
set100IT022,-1.3262956238253631,0.107
set100IT023,-0.9726798136784116,-0.431
set100IT024,-0.3941924036366862,-0.037
set100IT025,-0.8187588881666866,-0.023
set100IT026,-1.702345684799198,-0.404
set100IT027,-0.866234052320803,0.126
set100IT028,-1.2442595944185106,0.006
set100IT029,-1.442772838585698,-0.353
set100IT030,-0.9142490957479884,0.051
set100IT031,-1.0629821956282064,0.395
set100IT032,-0.8166992369534448,-0.259
set100IT033,-0.4446588032658477,0.23
set100IT034,-0.539764731894812,0.333
set100IT035,-1.4956198453047005,-0.57
set100IT036,-0.8734756685200716,0.313
set100IT037,-0.7931926619817534,0.32
set100IT038,-1.999187422797936,-0.555
set100IT039,-1.7980531490189002,0.042
set100IT040,-0.6991557426816917,0.614
set100IT041,-1.2211754297696589,-0.153
set100IT042,-0.6318814287934693,0.241
set100IT043,-1.1791060962760371,0.002
set100IT044,-1.3588515153394112,-0.467
set100IT045,-0.974519979764266,0.183
set100IT046,-1.6539665770524272,0.107
set101IT007,-0.9846748134745514,-0.138
set101IT008,-2.4322127689161266,-0.342
set101IT009,-0.8428300595627526,0.334
set101IT013,-0.5931743268453867,-0.226
set101IT014,-0.8894806307431545,-0.315
set101IT015,-0.5909070996138523,0.479
set101IT016,-0.8392973496124111,-0.218
set101IT017,-1.6126900226908267,0.005
set101IT018,-1.1742030600231588,0.205
set101IT019,-0.7807310862543246,-0.118
set101IT020,-1.6313710707449371,-0.288
set101IT021,-0.5909211790362374,0.027
set101IT022,-0.6157777654282712,-0.252
set101IT023,-1.4122714659284026,-0.185
set101IT024,-0.4212448734586058,0.028
set101IT025,-1.1369166385654754,-0.288
set101IT026,-1.1749319561418567,-0.102
set101IT027,-0.8135941830794533,0.073
set101IT028,-0.9533384346560148,-0.214
set101IT029,-1.4357707112784288,-0.357
set101IT030,-0.9215134542929758,-0.014
set101IT031,0.0854048665703945,0.06
set101IT032,-1.5345063884021966,0.087
set101IT033,-1.2073397818340967,0.391
set101IT034,-0.7362468945508398,-0.108
set101IT035,-1.3261935775480171,-0.233
set101IT036,-0.6661518898521323,0.028
set101IT037,-0.7338043542454435,-0.053
set101IT038,-1.4180835873108586,-0.112
set101IT039,-1.0430178644224295,0.188
set101IT040,-0.522049986392675,0.061
set101IT041,-2.0396165189590185,-0.306
set101IT042,-1.1407623017590955,0.161
set101IT043,-1.0587515238199996,-0.102
set101IT044,-1.414767507062311,-0.133
set101IT045,-1.1811014733742191,-0.078
set101IT046,-1.0016977032399832,-0.19
set101IT047,-1.86765985943689,-0.237
set101IT048,-0.9797589815965516,-0.209
