,A,HutC
set101IT019,-9.490709943190652,-0.755
set101IT020,-9.862388442505448,-0.706
set101IT021,-9.860351143029687,-0.901
set101IT022,-9.481644737125942,-0.877
set101IT023,-9.839020389734152,-0.896
set101IT024,-9.097601505860942,-0.583
set101IT025,-10.256334635629369,-0.637
set101IT026,-9.047989988460722,-0.528
set101IT027,-9.191277897607812,-0.638
set101IT028,-9.61327325103592,-0.517
set101IT029,-8.450795967059879,-0.761
set101IT030,-8.600509241177214,-0.731
set101IT031,-10.492209982559809,-0.668
set101IT032,-9.83570729416779,-0.676
set101IT033,-9.616746742047727,-0.659
set101IT034,-8.852298254978368,-0.806
set101IT035,-7.707924133813862,-0.506
set101IT036,-8.366565192107288,-0.72
set101IT037,-8.535687210033295,-0.753
set101IT038,-9.369091186193542,-0.791
set101IT039,-9.334418898416324,-0.811
set101IT040,-10.1665985896406,-0.799
set101IT041,-10.57835148413954,-1.065
set101IT042,-9.174682291091878,-1.138
set101IT043,-9.347476434212275,-0.307
set101IT044,-10.116852331467165,-0.496
set101IT045,-8.965123382211166,-0.249
set101IT046,-10.14181779166983,-0.914
set101IT047,-10.775710244553547,-0.463
set101IT048,-10.831034386052895,-0.902
