,A,GbdR
set27IT012,1.011645879402617,0.013
set27IT013,0.9480430574194136,0.056
set27IT014,1.0284039928632749,0.086
set27IT015,0.6241198888299423,-0.008
set27IT016,0.8191643933026816,-0.011
set27IT017,0.6884494853204453,0.2
set27IT018,0.9699351083612462,0.006
set27IT019,1.0404232780568312,0.044
set27IT020,0.644760167968813,0.262
set27IT021,0.6262162854248067,0.305
set27IT024,-0.0176614719027178,0.11
set27IT025,-0.1659905599453735,0.098
set27IT028,-0.3952183709217318,0.087
set27IT029,0.2158580140656306,0.175
set27IT030,0.5776674886733096,0.117
set27IT031,0.6417385454031259,0.185
set27IT032,0.8944654992373096,0.247
set27IT033,0.922394605519976,0.117
set27IT034,1.1691776267475458,-0.009
set27IT035,0.798580464130471,-0.034
set27IT036,1.4288813727436758,0.185
set27IT037,1.314657745622617,0.193
set27IT038,0.7459179223651965,-0.011
set27IT039,1.005781818253599,0.069
set27IT040,0.052294095931166,-0.518
set27IT041,0.4437184791048546,-0.217
set27IT042,0.8413348813197042,0.297
set27IT043,1.2507573171907174,0.311
set27IT044,1.491200171106861,0.213
set27IT045,1.1534038459270588,0.144
set27IT046,1.16534965121214,0.327
set27IT047,1.1129804776822825,0.118
set27IT048,0.2382639762859674,0.066
set27IT049,-0.2595396946246017,0.016
set27IT050,0.7398646617334619,0.1
set27IT051,0.8671308548052847,0.163
set27IT052,0.7845136506753241,0.13
set27IT053,0.434101236033049,-0.032
set27IT054,0.9170516994878152,0.187
set27IT055,0.5554282682382148,0.168
set27IT056,0.2903199288049257,-0.015
set27IT057,0.4168998534468088,0.149
set27IT058,0.1372064278554335,0.268
set27IT059,-0.1821192384187902,0.088
set27IT060,0.656780839473145,0.148
set27IT061,0.3697320891959748,0.19
set27IT062,0.8884138843746466,0.177
set27IT063,0.9916204144633513,0.072
set27IT064,0.8337399025183017,0.295
set27IT065,0.3549987105334427,0.186
set27IT066,0.4174326479700733,0.365
set27IT067,0.8086241041930144,0.152
set27IT068,0.4040448490159489,0.121
set27IT069,-0.3610481302868259,0.06
set27IT070,0.5715792504312955,0.013
set27IT071,0.7632948043860998,0.092
set27IT072,0.1596729177092841,0.099
set27IT073,0.0718065356859889,0.005
set28IT003,0.493267936451482,-0.136
set28IT004,0.0472000462665285,-0.025
set28IT005,-9.169582779590678,-1.412
set28IT006,-8.92144229651163,-1.379
set28IT007,-16.38762796660366,-3.619
set28IT008,-17.000336427451057,-3.277
set28IT009,-8.041121628910059,-1.109
set28IT010,-9.064898187393029,-0.793
set28IT013,-0.2153146045903165,-0.013
set28IT014,0.2198969613356625,0.002
set28IT017,0.6466307293020095,-0.014
set28IT018,-0.1578572437546401,-0.093
set28IT021,0.2215179455492193,0.08
set28IT022,0.1957430275720131,-0.247
set28IT023,0.3848450296750813,0.08
set28IT024,0.658167318311978,0.021
set28IT027,0.0316170563161137,-0.031
set28IT028,0.059765551317272,-0.201
set28IT029,0.4119217027654822,0.164
set28IT030,0.8579029821805096,0.063
set28IT031,1.117650064027156,0.178
set28IT032,0.8749996381996117,-0.036
set28IT035,0.7950951868298026,-0.192
set28IT036,0.4638782776191328,-0.288
set28IT037,0.6587693518029337,0.024
set28IT038,0.7240262584835788,0.183
set28IT039,0.0647325184795413,0.097
set28IT040,0.2722299421580453,0.159
