,A,DctD-II
set12IT032,1.5184947964158166,0.1
set12IT034,1.8780350088328064,-0.005
set12IT037,1.5848594224285149,0.46
set12IT038,1.7303465446774944,-0.303
set12IT039,1.5431457030460354,0.308
set12IT044,2.2443130463136973,0.195
set12IT046,1.576395202402236,0.226
set12IT053,0.6234652077867292,0.229
set12IT054,2.4011822471500777,0.063
set12IT055,1.672333415354289,0.096
set12IT056,3.269520562301283,0.228
set12IT057,1.552817253036879,0.096
set12IT058,-11.293069231385156,-4.386
set12IT059,2.518951004112256,0.329
set15IT054,1.636234759619976,-0.02
set15IT057,0.8530418205131809,0.019
set15IT058,2.7788113615264463,0.388
set15IT059,2.387825034221397,0.043
set15IT060,2.3635548209958963,0.465
set15IT061,0.9092102550951532,0.062
set15IT062,2.2088612370605425,0.331
set15IT063,1.811669567581375,0.073
set15IT064,1.6904116309009176,0.235
set15IT065,2.818884200581946,-0.3
set15IT066,1.3271102219256372,-0.441
set15IT067,2.1092012490738905,0.264
set15IT068,2.4203454232786727,0.106
set15IT071,1.8609316119948744,0.32
set15IT072,2.480281373294264,0.427
set15IT073,2.27682706330294,0.438
set15IT074,1.794475768889109,0.071
set15IT075,1.620658401843827,0.126
set15IT076,2.439431063459273,0.126
set15IT077,2.850580521568685,0.169
set15IT078,2.479191790214022,0.239
set15IT079,2.1665902662195844,0.639
set15IT080,2.361371798219498,0.337
set15IT081,2.451350062001504,0.102
set16IT004,2.6453241476479947,0.513
set16IT005,2.5584673153725364,0.458
set16IT006,2.7821211784733584,0.429
set16IT007,2.1700299668024794,0.563
set16IT008,1.963502473883512,0.275
set16IT009,1.9208322517544936,0.312
set16IT010,4.679881102424884,1.109
set16IT011,4.634191801929637,0.651
set16IT012,2.415105605871015,0.525
set16IT013,2.0711124994037813,0.523
set16IT014,2.0046663936222475,0.303
set16IT015,2.1192525448099477,0.358
set27IT004,2.186032228910705,0.06
set27IT005,1.878327728894792,0.28
set27IT006,0.5203357891916996,0.018
set27IT007,1.3363975391455056,0.179
set27IT008,1.257273719441247,0.039
set27IT009,1.4655327303798646,-0.104
set27IT010,2.000807710128926,0.296
set27IT011,1.343227963734969,0.243
set27IT012,1.130639252768421,0.016
set27IT013,0.8212181081140586,-0.072
set27IT014,1.350387953070345,0.076
set27IT015,0.915841830362887,0.028
set27IT016,1.5962942134042413,-0.073
set27IT017,1.580349777562241,0.27
