,A,ModR
set12IT058,0.0668213359234377,0.152
set12IT059,1.9020143422567608,0.208
set15IT054,0.4565991242630753,0.036
set15IT057,1.2628299072201346,-0.096
set15IT058,0.4297549826854812,-0.069
set15IT059,0.6456517063038971,-0.002
set15IT060,0.0232973471013514,-0.158
set15IT061,0.0205882705598426,-0.324
set15IT062,0.6185624633314754,0.209
set15IT063,0.7978178739893889,-0.217
set15IT064,0.5438965096702841,0.184
set15IT065,0.1098542533035312,0.399
set15IT066,0.2966759188302776,-0.13
set15IT067,0.2303689719401368,0.228
set15IT068,1.3169050004352143,-0.064
set15IT071,1.5493203336209476,-0.016
set15IT072,0.3533103244197159,-0.066
set15IT073,0.7326495375443316,0.071
set15IT074,0.778775039519336,0.079
set15IT075,-0.0975792948520288,0.033
set15IT076,-0.0447154592201738,-0.261
set15IT077,0.273456706838908,-0.17
set15IT078,0.9157590296161042,-0.173
set15IT079,0.957379722262858,-0.038
set15IT080,-0.3712827214768485,-0.141
set15IT081,0.528231689519546,-0.158
set16IT004,1.0872692136487565,-0.082
set16IT005,1.430527513633581,-0.174
set16IT006,0.8699159981947805,-0.003
set16IT007,3.685876315600277,-0.019
set16IT008,1.012739375825131,-0.004
set16IT009,1.2210684675100565,0.021
set16IT010,0.3291341686584371,-0.37
set16IT011,2.607633267604298,-0.088
set16IT012,0.7556059746664866,-0.084
set16IT013,1.0392813895807909,-0.123
set16IT014,0.807839883365671,-0.204
set16IT015,0.4189157168257249,0.086
set27IT004,-0.3918312025012709,-0.014
set27IT005,0.26726967784895,-0.044
set27IT006,0.7310715791283832,-0.146
set27IT007,0.0245860042521949,0.119
set27IT008,0.3634583852979297,-0.018
set27IT009,0.6991420512902964,-0.233
set27IT010,0.6881647089432983,-0.038
set27IT011,0.8374839097650024,0.145
set27IT012,0.0765892569994922,0.007
set27IT013,-0.2692501191775916,0.156
set27IT014,-0.4573776653066982,-0.008
set27IT015,-0.2151996866745581,0.197
set27IT016,8.613677053983539,0.077
set27IT017,8.690345393347826,0.156
set27IT018,0.3901331944015604,0.006
set27IT019,-0.6735178425586952,0.058
