,PP_t57
set16IT011,-0.205
set16IT012,-0.29
set16IT013,0.051
set16IT014,-0.187
set16IT015,0.087
set27IT004,-0.354
set27IT005,-0.392
set27IT006,-0.236
set27IT007,-0.212
set27IT008,-0.277
set27IT009,-0.482
set27IT010,-0.509
set27IT011,-0.155
set27IT012,-0.111
set27IT013,-0.199
set27IT014,-0.451
set27IT015,-0.612
set27IT016,-0.33
set27IT017,-0.363
set27IT018,-0.507
set27IT019,-0.264
set27IT020,-0.257
set27IT021,-0.251
set27IT024,-0.334
set27IT025,0.133
set27IT028,-0.579
set27IT029,-0.308
set27IT030,-0.282
set27IT031,-0.286
set27IT032,-0.104
set27IT033,-0.285
set27IT034,0.039
set27IT035,-0.401
set27IT036,-0.58
set27IT037,-0.383
set27IT038,-0.498
set27IT039,-0.353
set27IT040,-0.748
set27IT041,-0.293
set27IT042,-0.1
set27IT043,-0.354
set27IT044,0.043
set27IT045,-0.279
set27IT046,-0.299
set27IT047,-0.141
set27IT048,-0.272
set27IT049,-0.768
set27IT050,-0.433
set27IT051,-0.479
set27IT052,-0.158
set27IT053,-0.348
set27IT054,-0.444
set27IT055,-0.434
set27IT056,-0.215
set27IT057,-0.306
set27IT058,-0.618
set27IT059,-0.209
set27IT060,-0.312
set27IT061,-0.512
set27IT062,-0.515
set27IT063,-0.419
set27IT064,-0.393
set27IT065,-0.289
set27IT066,-0.448
set27IT067,-0.449
set27IT068,-0.209
set27IT069,-0.656
set27IT070,-0.274
set27IT071,-0.413
set27IT072,0.004
set27IT073,-0.131
set28IT003,-0.154
set28IT004,-0.224
set28IT005,-0.343
set28IT006,-0.612
set28IT007,-0.295
set28IT008,-0.179
set28IT009,-0.092
set28IT010,-0.568
set28IT013,-0.309
set28IT014,-0.268
set28IT017,-0.223
set28IT018,-0.453
set28IT021,-0.3
set28IT022,-0.28
set28IT023,-0.284
set28IT024,-0.552
set28IT027,-0.253
set28IT028,-0.371
set28IT029,-0.748
set28IT030,-0.388
set28IT031,-0.374
set28IT032,-0.126
set28IT035,-0.195
set28IT036,-0.188
set28IT037,-0.385
set28IT038,-0.369
set28IT039,-0.419
set28IT040,-0.432
set28IT041,-0.045
set28IT042,-0.636
set28IT045,-0.399
set28IT046,-0.351
set29IT004,-0.455
set29IT005,-0.417
set29IT006,-0.27
set29IT007,-0.437
set29IT014,-0.389
set29IT015,-0.183
set29IT057,0.005
set29IT058,0.116
set100IT008,-0.327
set100IT009,-0.308
set100IT010,-0.781
set100IT011,-0.368
set100IT012,-0.602
set100IT013,-0.546
set100IT014,-0.221
set100IT015,-0.469
set100IT016,-0.94
set100IT017,-0.764
set100IT018,-0.32
set100IT019,-0.802
set100IT020,-0.056
set100IT021,0.128
set100IT022,-0.537
set100IT023,-0.146
set100IT024,-0.154
set100IT025,-0.786
set100IT026,-0.418
set100IT027,-0.436
set100IT028,-0.888
set100IT029,-0.464
set100IT030,-0.265
set100IT031,-0.519
set100IT032,-0.564
set100IT033,0.066
set100IT034,-1.064
set100IT035,-0.416
set100IT036,-0.211
set100IT037,-0.716
set100IT038,-0.819
set100IT039,-0.512
set100IT040,-0.327
set100IT041,0.214
set100IT042,-0.076
set100IT043,-0.657
set100IT044,-0.1
set100IT045,-0.281
set100IT046,-0.518
set101IT007,-0.935
set101IT008,-0.204
set101IT009,-0.216
set101IT013,-0.09
set101IT014,-0.951
set101IT015,-0.146
set101IT016,-0.009
set101IT017,-0.479
set101IT018,-0.031
set101IT019,-0.427
set101IT020,-0.272
set101IT021,0.028
set101IT022,-0.025
set101IT023,-0.468
set101IT024,-0.403
set101IT025,-0.5
set101IT026,-0.177
set101IT027,-0.194
set101IT028,-0.453
set101IT029,-0.286
set101IT030,0.045
set101IT031,-0.278
set101IT032,-0.14
set101IT033,0.315
set101IT034,-0.012
set101IT035,-0.51
set101IT036,-0.043
set101IT037,0.081
set101IT038,-0.01
set101IT039,0.129
set101IT040,-0.19
set101IT041,-0.357
set101IT042,-0.205
set101IT043,-0.529
set101IT044,-0.061
set101IT045,-0.326
set101IT046,0.005
set101IT047,-0.602
set101IT048,-0.558
