,A,PhhR
set29IT004,2.5933857722022577,0.289
set29IT005,2.543785017570981,0.167
set29IT006,1.5349513607057483,-0.079
set29IT007,2.3656941356642744,0.161
set29IT014,1.7573416087454103,0.085
set29IT015,1.2703707887240197,0.083
set29IT057,0.9878637808228554,0.009
set29IT058,1.5881294468140634,0.054
set100IT008,0.3898988244172913,0.058
set100IT009,0.5863652612781539,-0.051
set100IT010,0.6252489629431743,-0.101
set100IT011,0.7887299571847362,-0.005
set100IT012,0.0003011953930195,-0.111
set100IT013,0.5176404123418988,-0.038
set100IT014,0.680747742270363,0.032
set100IT015,0.6685624246840117,-0.041
set100IT016,0.7572492958553915,-0.067
set100IT017,1.825141359076479,-0.033
set100IT018,1.6872482109450169,-0.053
set100IT019,1.2790285788090112,-0.148
set100IT020,1.4970090258259083,0.003
set100IT021,1.659422170491776,-0.026
set100IT022,1.947433615959317,-0.073
set100IT023,0.694766264068214,0.047
set100IT024,0.7361831727224741,-0.01
set100IT025,0.771833913825769,-0.157
set100IT026,0.8427782704798171,0.103
set100IT027,0.1715528066610629,0.034
set100IT028,0.8723238604335652,-0.13
set100IT029,1.2743751299172374,0.143
set100IT030,0.6718905719611721,-0.036
set100IT031,0.8521244169859787,-0.091
set100IT032,0.8713449099148449,0.008
set100IT033,1.7797452824264883,0.031
set100IT034,-0.1194940725580942,-0.173
set100IT035,0.6837684048493686,0.106
set100IT036,1.3571425112969862,0.025
set100IT037,1.422523772987881,-0.132
set100IT038,0.5577634914598459,0.063
set100IT039,1.567904676653067,-0.031
set100IT040,0.4037970477345201,0.088
set100IT041,1.369311726923358,0.102
set100IT042,1.2995501264114788,-0.03
set100IT043,0.9688504101201127,-0.143
set100IT044,0.4480377491202313,0.053
set100IT045,0.4740990120577216,-0.015
set100IT046,0.6792454126115811,-0.088
set101IT007,1.087018603214445,0.199
set101IT008,2.5343729526620056,0.083
set101IT009,1.158659613603305,0.025
set101IT013,2.140847409175958,0.179
set101IT014,1.3208755486860204,-0.064
set101IT015,3.158442268772341,-0.0
set101IT016,1.1767234001757705,0.164
set101IT017,1.4834873316130666,-0.035
set101IT018,1.0230595544102845,-0.116
set101IT019,0.5394952120702592,0.166
set101IT020,0.9138897515449868,0.026
set101IT021,0.4942941194757084,0.141
set101IT022,1.273389872320775,0.196
set101IT023,1.5201708986518117,0.068
set101IT024,2.050205365731597,0.017
set101IT025,-0.7206312910915114,0.044
set101IT026,0.6853394156534668,0.03
set101IT027,-0.0302319049505923,0.072
set101IT028,1.2374309132325616,0.186
set101IT029,0.4449781897648014,0.039
set101IT030,0.8569237464692075,-0.002
set101IT031,0.9301579028378784,0.157
set101IT032,1.3319769174420473,0.08
set101IT033,1.138732427370481,0.032
set101IT034,0.3414370037171511,0.093
set101IT035,0.6366701595285997,-0.016
set101IT036,-0.1171927535555284,0.04
set101IT037,0.5346029089371088,0.116
set101IT038,2.0480775133819127,-0.069
set101IT039,2.1342399624786363,0.045
set101IT040,0.8516977504440346,0.12
set101IT041,0.6309021504549778,-0.087
set101IT042,-0.6988150431751788,-0.021
set101IT043,1.8406769921580004,0.059
set101IT044,1.9405278159753048,-0.058
set101IT045,1.4120415871034535,-0.053
set101IT046,2.437352571672843,0.065
set101IT047,1.5464423275771555,-0.16
set101IT048,3.1254539456757584,-0.095
