,A,PP_5350
set10IT024,0.4195045027016077,-0.661
set10IT025,0.6655381387092136,-0.243
set10IT026,0.253599783765449,-0.983
set10IT027,0.5798917282817262,-0.461
set10IT028,0.4928799103062328,-0.316
set10IT029,0.1262178853308091,-0.94
set10IT031,0.3451038143873913,-0.472
set10IT032,0.902976493152939,0.184
set10IT033,1.335594468674887,0.258
set10IT034,0.6201851748989362,-0.883
set10IT035,0.5365652192615614,-1.613
set10IT036,-0.286531761357642,-0.864
set10IT037,0.1592484410315193,-0.793
set10IT043,-0.3056745333790374,0.248
set10IT044,0.2536082839599186,0.015
set10IT053,-6.460683928864476,0.015
set12IT001,-2.8763300823978555,0.752
set12IT002,-1.3605425857127365,0.841
set12IT004,1.4011552294436862,0.182
set12IT007,-0.4332727968927533,1.161
set12IT008,-1.3768877601902645,-0.022
set12IT009,-1.004682739690011,-0.951
set12IT014,-1.1459624600767233,-1.364
set12IT015,-1.2819250720662458,-0.527
set12IT016,-1.2380090150317424,-0.699
set12IT017,-1.358886834253005,0.33
set12IT023,-2.867676917583355,0.741
set12IT024,-2.7494292077414832,-0.849
set12IT025,-1.8554494486257944,-0.718
set12IT026,-3.1052401617162086,0.269
set12IT027,0.1458970993961092,-1.329
set12IT028,-0.9154569906111482,-0.477
set12IT029,-3.782316552334576,-0.79
set12IT031,-1.8482043608107883,-1.41
set12IT032,-1.0288196372631138,-0.323
set12IT034,2.1121259959955028,-0.649
set12IT037,0.1000129602320408,0.582
set12IT038,-0.6817865518003515,0.151
set12IT039,-0.0976242440011995,0.896
set12IT044,-1.652990232119947,-0.658
set12IT046,-2.059481992206157,0.037
set12IT053,-3.1454425083968487,0.505
set12IT054,-2.831765932224344,0.273
set12IT055,-1.3751408685580098,-0.924
set12IT056,-3.4895911878083443,-0.584
set12IT057,0.4601467616574697,-2.301
set12IT058,-1.751850916991489,-2.076
set12IT059,-3.830522030318314,-0.063
set15IT054,-6.559021546495456,-0.057
set15IT057,-10.51565446155319,-0.874
set15IT058,-13.154113581616151,0.416
set15IT059,-12.968705235398309,-0.609
set15IT060,2.306740336897932,-0.592
set15IT061,-14.770239742637088,-0.301
set15IT062,-6.229952167897963,-0.337
set15IT063,-11.363529311792096,-0.344
set15IT064,-13.66016794881982,-0.163
set15IT065,-7.959524714050904,-0.627
set15IT066,-15.609871137534713,-0.184
set15IT067,-2.313608029966827,-0.81
set15IT068,-10.871863313766756,-0.612
set15IT071,-6.026259654261239,-1.179
set15IT072,-13.554027858115385,0.223
set15IT073,-14.60601992440519,0.237
set15IT074,3.305193356263508,-0.718
set15IT075,-10.806981961507166,-0.141
set15IT076,-6.078984492260811,-0.95
set15IT077,-8.87389563892685,-0.734
set15IT078,-13.383259467209651,0.316
set15IT079,-7.9127008757355135,-0.729
set15IT080,-14.22773560486211,-0.324
set15IT081,-2.340338787176459,-0.566
set16IT004,-8.097974814966829,0.431
set16IT005,-8.60833767178877,0.045
set16IT006,-9.94862737331779,0.665
set16IT007,-7.658286517488209,0.471
set16IT008,-7.688522327053993,-0.079
set16IT009,-8.276593058084035,-0.275
set16IT010,-9.576805218733666,0.289
set16IT011,-10.79836957199314,-0.264
set16IT012,-0.0937902824325583,-0.262
set16IT013,-0.785662458965441,0.084
set16IT014,-6.567474114837316,0.031
set16IT015,-6.954004580086275,0.054
set27IT004,0.192293582446698,-1.309
set27IT005,0.2102261575001669,-1.741
set27IT006,-0.3034367147946518,0.238
set27IT007,0.5249568942589874,-0.214
set27IT008,0.6195833636725505,-1.826
set27IT009,0.5997852973533482,-1.749
set27IT010,0.2376070268361648,-2.418
set27IT011,0.2449643464259756,-2.43
set27IT012,0.8234727742137052,-0.452
