,A,GltR-II
set16IT009,-0.778261038298255,0.074
set16IT010,0.402219017347727,-0.032
set16IT011,-0.7673575815591012,-0.679
set16IT012,-0.7252048141036218,0.063
set16IT013,-0.2924722600148505,-0.184
set16IT014,-0.2630043686827448,-0.18
set16IT015,-0.3988410346624327,0.005
set27IT004,-1.2416907545206195,-0.243
set27IT005,-1.5116746340439673,-0.384
set27IT006,-0.7133624765991721,0.611
set27IT007,-0.1760765190884189,0.492
set27IT008,-1.4798317791489737,-0.256
set27IT009,-1.337549820633117,-0.18
set27IT010,-1.531316212416642,-0.279
set27IT011,-1.8496768860577664,-0.295
set27IT012,1.2918087186389935,0.655
set27IT013,1.1542499029817068,0.931
set27IT014,-0.6995852154800482,0.071
set27IT015,-0.6003654967652675,-0.126
set27IT016,-1.433732110730234,-0.392
set27IT017,-1.8835823741328448,-0.251
set27IT018,-0.4811699008500502,0.307
set27IT019,-0.4377887190675893,0.101
set27IT020,-0.9999608519239176,0.161
set27IT021,-0.7758924415586632,-0.237
set27IT024,0.0046157691254264,0.466
set27IT025,0.892812995555239,0.795
set27IT028,0.9024973765267142,0.193
set27IT029,0.7520943562210698,0.146
set27IT030,-0.171127471488753,-0.172
set27IT031,0.0244970190433588,0.164
set27IT032,-0.7697015946324549,0.281
set27IT033,-0.3861842311346587,0.599
set27IT034,-0.8086061978789034,0.355
set27IT035,-0.5412373970159571,0.31
set27IT036,-1.7518520870263896,-0.26
set27IT037,-1.8518729997777956,0.287
set27IT038,-0.4364732319218873,0.012
set27IT039,-0.6302359935393924,0.102
set27IT040,-1.7459817902913388,-0.192
set27IT041,-1.6387545422580398,-0.153
set27IT042,-0.4579001319023043,0.009
set27IT043,-0.8832922094646942,0.14
set27IT044,-1.126188671065632,0.208
set27IT045,-0.5275079162286688,-0.13
set27IT046,-1.2163886277819045,0.145
set27IT047,-0.917033522886764,0.368
set27IT048,-0.3858630645720433,0.137
set27IT049,-0.2244467567894015,0.037
set27IT050,-0.4279159388154236,0.643
set27IT051,-0.1291055457098426,0.534
set27IT052,-0.6187921659098601,0.018
set27IT053,-0.7649219993656652,0.167
set27IT054,-1.3395971155910416,-0.053
set27IT055,-1.344656250638377,-0.309
set27IT056,-0.9851443583940838,-0.063
set27IT057,-1.0906609966745218,-0.117
set27IT058,0.4139599407345897,0.068
set27IT059,-0.0648408184035376,0.383
set27IT060,-0.9745015412661436,-0.078
set27IT061,-1.25176883211872,-0.025
set27IT062,-0.9733815225600574,0.013
set27IT063,-1.2585900091157152,-0.158
set27IT064,-0.4587241423171274,-0.003
set27IT065,-0.556907143571908,0.135
set27IT066,-0.4308104368344403,-0.199
set27IT067,-0.6194776656723191,-0.01
set27IT068,-0.5414837760681013,-0.185
set27IT069,-3.539377856567661,-1.137
set27IT070,0.0569129055875354,0.329
set27IT071,-0.3268802615215601,0.117
set27IT072,-1.2617973308846353,0.109
set27IT073,-1.1387165024988306,0.3
set28IT003,-0.4283071001158673,-0.198
set28IT004,-0.3347269713491848,-0.15
set28IT005,-0.2052565462061275,-0.089
set28IT006,-0.1364063309358105,-0.173
set28IT007,0.8202018523183235,0.007
set28IT008,0.2196075131064037,0.062
set28IT009,-0.3424995626234966,-0.175
set28IT010,-0.1967724838666123,-0.224
set28IT013,0.1751923956369011,-0.176
set28IT014,-0.1395414792212337,-0.145
set28IT017,-0.2299082481200484,-0.25
set28IT018,0.0777515754373424,-0.186
set28IT021,-0.1557820742669071,0.212
set28IT022,-0.3048291369220166,0.01
set28IT023,0.1517493683858812,-0.096
set28IT024,-0.0793632619570822,-0.312
set28IT027,-0.2194591499589245,0.149
set28IT028,-0.3045608336316714,-0.138
set28IT029,-0.270393766348383,-0.005
set28IT030,-0.3280532715599007,0.079
set28IT031,0.1377376338941174,0.134
set28IT032,0.0003295265335366,-0.026
set28IT035,0.0652820033567948,0.194
set28IT036,0.3826547887445345,-0.082
set28IT037,-0.5076856117947678,0.01
set28IT038,0.0564201044892755,-0.156
set28IT039,-0.566045269431171,-0.13
set28IT040,-0.0630152647666699,-0.141
set28IT041,-0.0530078927013488,-0.059
set28IT042,-0.2873910805941506,-0.233
set28IT045,0.3498032340049615,0.008
set28IT046,0.2081125688873665,0.056
set29IT004,-37.18579805910392,-4.404
set29IT005,-31.40561966461961,-3.405
set29IT006,-2.3258716305571907,-0.124
set29IT007,-2.199552090468078,0.268
set29IT014,-0.6297319660207602,0.271
set29IT015,-0.5645502996246006,0.056
set29IT057,-3.0572883440280565,0.056
set29IT058,-2.8092512895671065,-0.013
set100IT008,-0.9172594390936184,0.166
set100IT009,-0.7612523792308565,0.197
set100IT010,-0.6373726506750428,0.107
