,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
80,set12__Phenylacetic acid carbon source,-0.1795,0.16334166645409245,2.0,96.0,-0.064,111.0,-0.295,,,,
81,set15__Butyl stearate carbon source,0.0315,0.31607673119038676,2.0,112.0,0.255,124.0,-0.192,,,,
82,set15__Hexanoic acid carbon source,0.05,0.23758787847867996,2.0,113.0,0.218,125.0,-0.118,,,,
83,set15__Decanoic acid carbon source,0.1405,0.1576848122046001,2.0,114.0,0.252,126.0,0.029,,,,
84,set15__Lauric acid carbon source,0.2935,0.07566042558696058,2.0,115.0,0.347,127.0,0.24,,,,
85,set15__Valeric acid carbon source,0.1305,0.004949747468305837,2.0,116.0,0.134,128.0,0.127,,,,
86,set15__Octanoic acid carbon source,0.8200000000000001,0.0791959594928933,2.0,117.0,0.876,129.0,0.764,,,,
87,set15__Nonanoic acid carbon source,-0.14250000000000002,0.18031222920256962,2.0,118.0,-0.27,130.0,-0.015,,,,
88,set15__Tween 20 carbon source,0.874,0.2672863632885149,2.0,119.0,1.063,131.0,0.685,,,,
89,set15__Myristic acid carbon source,-0.4265,0.08697413408594534,2.0,120.0,-0.365,132.0,-0.488,,,,
90,set15__Sodium butyrate carbon source,-0.508,0.3153696244092002,2.0,121.0,-0.285,133.0,-0.731,,,,
91,set15__Oleic acid carbon source,0.3165,0.0629325035256027,2.0,122.0,0.272,134.0,0.361,,,,
92,set15__Heptanoic acid carbon source,0.3585,0.3259762261269984,2.0,123.0,0.589,135.0,0.128,,,,
93,set16__Butanol carbon source,-0.14300000000000002,0.16404877323527903,2.0,136.0,-0.259,137.0,-0.027,,,,
94,"set16__1,3-Butandiol carbon source",0.052500000000000005,0.2538513344459706,2.0,138.0,0.232,139.0,-0.127,,,,
95,set16__3-methyl-3-butenol carbon source,-0.006500000000000006,0.3556747109368334,2.0,140.0,-0.258,141.0,0.245,,,,
96,set16__3-methyl-1-butanol carbon source,0.14950000000000002,0.41931432124362267,2.0,142.0,0.446,143.0,-0.147,,,,
