,A,FleQ
set8IT095,0.024742522827077,0.579
set8IT096,1.5019483088344798,0.736
set9IT020,0.4936733903094729,0.437
set9IT022,0.2881305138643479,0.438
set9IT025,-2.601612996624312,0.126
set10IT006,1.3957852373247177,1.259
set10IT008,-2.885254521520754,0.184
set10IT010,0.6454453264546192,0.332
set10IT017,0.3628892549529385,0.402
set10IT018,0.5802010481349957,0.466
set10IT019,-0.0323232560651257,0.547
set10IT020,0.78793802057381,0.437
set10IT021,-0.5828714731155924,0.384
set10IT022,0.2031798893829513,0.447
set10IT023,0.0926618632017887,0.559
set10IT024,0.0614231961614413,0.438
set10IT025,-0.2849324912161746,0.428
set10IT026,-0.6101467702513899,0.561
set10IT027,0.3238232599659267,0.419
set10IT028,-0.1537623816395276,0.17
set10IT029,0.0535382773082631,0.255
set10IT031,0.4112508358057959,0.495
set10IT032,0.5548309265469186,0.437
set10IT033,0.1129591935609571,0.272
set10IT034,0.5329859025763198,0.394
set10IT035,0.1892387430390128,0.379
set10IT036,-0.5856807119657396,0.48
set10IT037,0.1738153447658439,0.442
set10IT043,1.0960867428082948,-0.005
set10IT044,5.615657066314364,0.986
set10IT053,1.0221268825664125,1.722
set12IT001,-1.1437773579159611,1.422
set12IT002,0.4217791824445765,0.91
set12IT004,0.5792835699466741,0.953
set12IT007,0.9855245649612838,0.225
set12IT008,5.61253735707274,0.84
set12IT009,2.525080881413549,1.069
set12IT014,-2.965610558747092,0.391
set12IT015,-2.091527763801251,1.622
set12IT016,-1.867499085156601,0.871
set12IT017,-1.070601425316633,1.705
set12IT023,0.8199802628910717,0.755
set12IT024,-0.8241480546672253,1.451
set12IT025,-3.449132915927141,1.708
set12IT026,-3.448469482794059,1.572
set12IT027,-1.489042468654977,1.029
set12IT028,0.4018623474871723,0.684
set12IT029,-0.9521743029459816,0.667
set12IT031,0.5158195782528158,1.512
set12IT032,0.4787846458384319,1.057
set12IT034,2.2152667354565274,0.732
set12IT037,0.3654008547684979,0.022
set12IT038,5.862451647263609,1.296
set12IT039,1.207756157222872,0.779
set12IT044,-4.159608134605254,0.593
set12IT046,-2.3086916950373846,0.691
set12IT053,1.6328238117981937,0.934
set12IT054,-0.3864922300146644,1.448
set12IT055,-4.6427926659426095,1.077
set12IT056,-4.390065205242044,1.24
set12IT057,-0.5271808877194983,0.977
set12IT058,-0.406826373991475,0.4
set12IT059,-0.7980281528103965,0.391
set15IT054,0.326071450846274,-0.312
set15IT057,1.913891648299392,1.055
set15IT058,1.219199014585779,0.931
set15IT059,1.0870982223822194,0.787
set15IT060,1.3925161725687374,0.595
set15IT061,1.5379440232967132,0.338
set15IT062,0.2743446642175354,0.538
set15IT063,3.0916737985451603,1.479
set15IT064,-0.1995448682099652,1.106
set15IT065,1.7369644834251732,1.057
set15IT066,0.0462290709262312,-0.696
set15IT067,0.273053861115863,0.448
set15IT068,-0.6444674501967488,-0.367
set15IT071,2.36737062518065,0.417
set15IT072,2.2957046384136843,0.889
set15IT073,1.2808902886569795,0.727
set15IT074,1.1445527543724003,0.587
set15IT075,1.6830103147250557,0.343
set15IT076,1.1082804830281772,0.372
set15IT077,2.6583391740083364,1.311
set15IT078,-1.210935268288511,0.706
set15IT079,2.353525064261875,1.069
set15IT080,1.2533935174452675,-0.445
set15IT081,0.4292950302854117,0.493
set16IT004,0.0334057913954241,0.687
set16IT005,0.3897783679480547,0.503
set16IT006,-1.1893941966276835,1.524
set16IT007,2.502801186788532,1.484
set16IT008,0.5465555110952527,0.796
set16IT009,-0.3404679334162601,0.862
set16IT010,-0.5119243055611021,0.607
set16IT011,0.4311507794107722,-0.181
set16IT012,0.5340718246013,1.93
set16IT013,0.7446083096099403,1.766
set16IT014,0.2873982781198781,0.715
set16IT015,0.0946920483333478,0.878
set27IT004,1.3004335019306403,0.364
set27IT005,1.0506566697271724,0.466
set27IT006,7.067444507415164,1.4
set27IT007,7.4265066124873025,1.421
set27IT008,1.5123598249634909,0.589
