,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
62,set10__Sodium succinate dibasic hexahydrate carbon source,-1.2836872411966869,,1.0,77.0,-1.2836872411966869,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,0.4674539237585183,,1.0,78.0,0.4674539237585183,,,,,,
64,set10__Sodium butyrate carbon source,-1.7156305932180904,,1.0,79.0,-1.7156305932180904,,,,,,
65,set12__Vanillin carbon source,-6.202456839411126,0.27999688243587817,2.0,80.0,-6.004469145129624,97.0,-6.400444533692628,,,,
66,"set12__1,2-Propanediol carbon source",-6.916308453584635,1.433397916430638,2.0,81.0,-5.902743066737862,98.0,-7.929873840431407,,,,
67,set12__Sodium propionate carbon source,-3.412549291095986,0.9077200049184465,2.0,82.0,-4.054404261992506,99.0,-2.7706943201994663,,,,
68,set12__2-methyl-1-butanol carbon source,-1.8725806983668218,0.16809260073840182,2.0,83.0,-1.9914401162162287,100.0,-1.7537212805174152,,,,
69,"set12__1,5-Pentanediol carbon source",-3.9510422254095916,0.2568821991292578,2.0,84.0,-4.132685370380003,101.0,-3.76939908043918,,,,
70,"set12__1,4-Butanediol carbon source",-2.654274513186193,0.5656871514946713,2.0,85.0,-3.054275734038177,102.0,-2.2542732923342093,,,,
71,set12__Vanillic Acid carbon source,-5.054574832785416,0.29026213052995686,2.0,86.0,-5.259821153604803,103.0,-4.8493285119660285,,,,
72,set12__Protocatechuic Acid carbon source,-4.818032031108039,0.35722101496693637,2.0,87.0,-4.5654386290425775,89.0,-5.070625433173501,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,-6.380030253434086,0.7303090382445633,2.0,88.0,-5.8636237801295295,104.0,-6.896436726738642,,,,
74,set12__L-Lysine carbon source,-4.345250578403627,0.7054613181823091,2.0,90.0,-4.844087060355139,105.0,-3.846414096452116,,,,
75,set12__p-Coumaric acid carbon source,-4.024761973179408,0.5183821689843939,2.0,91.0,-4.391313520114464,106.0,-3.658210426244352,,,,
76,set12__benzoic acid carbon source,-5.138103276701047,0.258337136938243,2.0,92.0,-5.320775218062397,107.0,-4.955431335339698,,,,
77,set12__Ferulic Acid carbon source,-4.763453087551798,1.6429689364911713,2.0,93.0,-3.6016986112800407,108.0,-5.925207563823555,,,,
