,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
108,set27__Hydantoin nitrogen source,0.0195,0.10960155108391487,2.0,166.0,0.097,167.0,-0.058,,,,
109,set27__DL-2-Aminobutyric acid nitrogen source,0.215,0.052325901807804526,2.0,168.0,0.252,169.0,0.178,,,,
110,set27__3-aminobutyric acid nitrogen source,-0.1205,0.28637824638055176,2.0,170.0,-0.323,171.0,0.082,,,,
111,set27__D-Lysine nitrogen source,-0.191,0.11879393923934,2.0,172.0,-0.275,173.0,-0.107,,,,
112,set27__D-Alanine nitrogen source,0.009999999999999998,0.09050966799187808,2.0,174.0,0.074,175.0,-0.054,,,,
113,set27__L-Arginine nitrogen source,0.069,0.15839191898578664,2.0,176.0,-0.043,177.0,0.181,,,,
114,set27__L-Aspartate nitrogen source,-0.102,0.3620386719675123,2.0,178.0,0.154,179.0,-0.358,,,,
115,set27__Beta-alanine nitrogen source,0.1265,0.03889087296526011,2.0,180.0,0.154,181.0,0.099,,,,
116,set27__L-Ornithine nitrogen source,0.09,0.004242640687119289,2.0,182.0,0.093,183.0,0.087,,,,
117,set27__L-Glutamine nitrogen source,-0.179,0.005656854249492385,2.0,184.0,-0.183,185.0,-0.175,,,,
118,set27__L-Alanine nitrogen source,0.12,0.049497474683058325,2.0,186.0,0.155,187.0,0.085,,,,
119,set27__L-Cysteine nitrogen source,-0.0765,0.1916259377015544,2.0,188.0,-0.212,189.0,0.059,,,,
120,set27__L-Lysine nitrogen source,0.0295,0.22839549032325485,2.0,190.0,-0.132,191.0,0.191,,,,
121,set27__L-Asparagine nitrogen source,0.199,0.19233304448274094,2.0,192.0,0.063,193.0,0.335,,,,
122,set27__L-Proline nitrogen source,-0.0335,0.4376990975544729,2.0,194.0,0.276,195.0,-0.343,,,,
123,set27__Glycine nitrogen source,-0.06699999999999999,0.4186072144624361,2.0,196.0,-0.363,197.0,0.229,,,,
124,set27__L-Methionine nitrogen source,-0.0715,0.02192031021678297,2.0,198.0,-0.056,199.0,-0.087,,,,
