,PP_t49
set16IT008,-0.325
set16IT009,-0.173
set16IT010,0.831
set16IT011,0.953
set16IT012,-0.239
set16IT013,0.052
set16IT014,0.09
set16IT015,-0.008
set27IT004,0.238
set27IT005,0.205
set27IT006,-0.376
set27IT007,-0.734
set27IT008,0.279
set27IT009,0.089
set27IT010,0.024
set27IT011,-0.196
set27IT012,-0.011
set27IT013,0.251
set27IT014,0.397
set27IT015,0.33
set27IT016,0.316
set27IT017,0.08
set27IT018,0.565
set27IT019,0.563
set27IT020,-0.459
set27IT021,-0.688
set27IT024,-0.53
set27IT025,0.026
set27IT028,-1.976
set27IT029,-1.231
set27IT030,-0.18
set27IT031,-0.237
set27IT032,0.09
set27IT033,0.265
set27IT034,0.468
set27IT035,0.262
set27IT036,0.588
set27IT037,0.472
set27IT038,0.247
set27IT039,-0.083
set27IT040,0.15
set27IT041,0.613
set27IT042,0.798
set27IT043,0.868
set27IT044,0.333
set27IT045,0.384
set27IT046,0.053
set27IT047,0.544
set27IT048,-0.184
set27IT049,-0.182
set27IT050,0.194
set27IT051,0.342
set27IT052,0.21
set27IT053,0.642
set27IT054,0.328
set27IT055,0.135
set27IT056,0.529
set27IT057,-0.079
set27IT058,-0.041
set27IT059,-0.838
set27IT060,0.376
set27IT061,-0.183
set27IT062,0.292
set27IT063,0.317
set27IT064,-0.291
set27IT065,0.114
set27IT066,-0.202
set27IT067,-0.045
set27IT068,-0.307
set27IT069,-0.602
set27IT070,-0.483
set27IT071,-0.326
set27IT072,0.3
set27IT073,0.423
set28IT003,-0.008
set28IT004,-0.133
set28IT005,0.003
set28IT006,0.013
set28IT007,0.13
set28IT008,-0.26
set28IT009,0.104
set28IT010,-0.045
set28IT013,0.076
set28IT014,0.098
set28IT017,-0.383
set28IT018,0.044
set28IT021,-0.19
set28IT022,-0.043
set28IT023,0.219
set28IT024,0.568
set28IT027,0.101
set28IT028,0.334
set28IT029,-0.236
set28IT030,0.017
set28IT031,0.106
set28IT032,0.026
set28IT035,-0.844
set28IT036,-0.309
set28IT037,0.349
set28IT038,0.357
set28IT039,0.273
set28IT040,0.184
set28IT041,0.041
set28IT042,-0.402
set28IT045,-0.414
set28IT046,-0.212
set29IT004,0.018
set29IT005,0.995
set29IT006,0.49
set29IT007,0.432
set29IT014,0.165
set29IT015,0.045
set29IT057,-0.295
set29IT058,-0.109
set100IT008,1.074
set100IT009,0.852
set100IT010,0.868
set100IT011,0.548
set100IT012,0.608
set100IT013,0.641
set100IT014,0.831
set100IT015,0.824
set100IT016,1.096
set100IT017,0.596
set100IT018,0.178
set100IT019,0.383
set100IT020,0.499
set100IT021,0.602
set100IT022,0.722
set100IT023,0.135
set100IT024,0.369
set100IT025,0.278
set100IT026,1.05
set100IT027,0.743
set100IT028,0.711
set100IT029,0.729
set100IT030,0.896
set100IT031,0.759
set100IT032,0.25
set100IT033,0.973
set100IT034,0.79
set100IT035,0.842
set100IT036,0.826
set100IT037,0.757
set100IT038,0.141
set100IT039,0.735
set100IT040,-0.095
set100IT041,-0.459
set100IT042,-0.177
set100IT043,-0.038
set100IT044,0.825
set100IT045,0.86
set100IT046,0.898
set101IT007,0.873
set101IT008,1.09
set101IT009,0.817
set101IT013,1.493
set101IT014,1.46
set101IT015,1.497
set101IT016,0.66
set101IT017,0.731
set101IT018,0.607
set101IT019,0.519
set101IT020,0.617
set101IT021,0.374
set101IT022,1.025
set101IT023,0.763
set101IT024,0.322
set101IT025,0.44
set101IT026,0.497
set101IT027,0.228
set101IT028,0.566
set101IT029,0.186
set101IT030,0.415
set101IT031,0.316
set101IT032,0.617
set101IT033,0.824
set101IT034,0.419
set101IT035,0.647
set101IT036,0.197
set101IT037,0.639
set101IT038,0.227
set101IT039,0.237
set101IT040,0.713
set101IT041,0.141
set101IT042,0.53
set101IT043,0.214
set101IT044,0.125
set101IT045,0.093
set101IT046,0.405
set101IT047,-0.132
set101IT048,0.561
