,A,BenR
set10IT020,-0.2791713257139152,-0.006
set10IT021,-0.5121766512708255,-0.404
set10IT022,-0.4670120081135859,0.314
set10IT023,-0.3897098519142524,-0.1
set10IT024,-0.5592349722273198,0.082
set10IT025,-0.2061948456503901,0.093
set10IT026,-0.0686802988658523,0.037
set10IT027,-0.6142493740834127,-0.072
set10IT028,-0.5563649135999233,-0.061
set10IT029,0.2849856293429572,0.024
set10IT031,-0.2290861206638033,-0.061
set10IT032,-0.572895934759398,0.119
set10IT033,0.3292267239833524,0.089
set10IT034,-0.110839408312858,0.067
set10IT035,-0.4068991447695279,-0.202
set10IT036,0.1512657783476967,0.192
set10IT037,0.1181666269366665,0.016
set10IT043,-0.0561316090898665,-0.19
set10IT044,-0.4866751439586732,-0.215
set10IT053,-0.0225648339482503,-0.358
set12IT001,3.47756998892235,-0.062
set12IT002,-0.0519301368285606,0.07
set12IT004,0.0033250569531755,0.013
set12IT007,-0.6982960962587504,-0.102
set12IT008,-0.1648100374127298,0.013
set12IT009,-0.4457481653857958,-0.032
set12IT014,3.022658996339796,-0.109
set12IT015,4.224342011113169,-0.005
set12IT016,3.971870488085417,0.056
set12IT017,3.707735900546119,0.079
set12IT023,-0.2128787980824539,0.002
set12IT024,3.0460330031151592,0.072
set12IT025,-17.752329571366037,-3.162
set12IT026,2.6664046502591,-0.095
set12IT027,-0.508778111747943,-0.04
set12IT028,-0.1071346081841394,-0.068
set12IT029,-0.6951263914166216,0.059
set12IT031,4.887247142969299,-0.25
set12IT032,-0.1566629650605247,-0.056
set12IT034,-0.1553920336949965,-0.29
set12IT037,-0.3960456138116346,-0.035
set12IT038,-0.6319218039647247,-0.043
set12IT039,-0.7114480801147567,0.221
set12IT044,4.780991263369123,-0.036
set12IT046,3.5184176922614503,-0.151
set12IT053,-0.2507529784764991,-0.092
set12IT054,3.721864935101889,-0.009
set12IT055,-18.798702423993824,-3.033
set12IT056,3.31065217742716,0.02
set12IT057,-0.051105807705575,-0.101
set12IT058,-0.1701462769568945,-0.136
set12IT059,0.0295170599697609,-0.093
set15IT054,-0.7727163126504926,0.113
set15IT057,-0.6019115669098262,0.092
set15IT058,0.0634004008720147,0.152
set15IT059,-0.3022633459639892,0.187
set15IT060,-0.4717680907739439,0.202
set15IT061,0.2952717044407895,0.078
set15IT062,0.2228107964897445,0.227
set15IT063,-2.012305956782909,-0.208
set15IT064,-0.2428711568234202,0.126
set15IT065,0.5048694972773409,0.093
set15IT066,-0.0499498051555994,0.302
set15IT067,-0.2253971544804995,-0.001
set15IT068,-0.5383124240782352,0.108
set15IT071,0.0512288496223697,0.014
set15IT072,-0.7851964974153092,0.204
set15IT073,-0.5594653242235188,-0.005
set15IT074,0.2953732971330142,-0.086
set15IT075,-0.0456160400211134,0.103
set15IT076,-0.3915564016693333,-0.07
set15IT077,0.1450930743861522,-0.263
set15IT078,0.0589650368748243,0.098
set15IT079,-0.0545151049815708,0.181
set15IT080,0.2876558182778865,0.275
set15IT081,-0.0720892154727006,0.018
set16IT004,-0.2752259445788462,0.142
set16IT005,0.3834762490012888,-0.049
set16IT006,-0.0368652060182004,0.16
set16IT007,-0.0530624444264479,0.08
set16IT008,0.0037017495042265,-0.102
set16IT009,0.0173227292664162,0.023
set16IT010,-0.2351665932406443,-0.076
set16IT011,-0.3293606254270578,0.224
set16IT012,-0.3925751186679713,-0.018
set16IT013,0.1956601052592388,0.03
set16IT014,-0.1331361738481719,0.149
set16IT015,0.1465724261111818,0.105
set27IT004,-0.1748614668209205,0.04
set27IT005,-0.0064527832481512,0.076
set27IT006,-0.4655550019482876,0.001
set27IT007,0.0742904696608703,0.029
set27IT008,-0.3250119921117715,0.017
set27IT009,-0.1877950052082702,0.219
set27IT010,-0.2276861451960681,0.151
set27IT011,-0.5725634826052679,0.051
set27IT012,0.1384568653798627,0.099
set27IT013,0.0480530376929647,0.053
set27IT014,-0.3728771789439357,0.134
set27IT015,-0.365085503986127,0.122
set27IT016,0.2364026543537574,-0.027
set27IT017,-0.1959105753920376,-0.007
set27IT018,-0.1652482666075502,0.081
set27IT019,0.1227589805401188,0.073
set27IT020,-0.400257979443983,0.053
set27IT021,-0.2135149510173984,0.14
set27IT024,0.0695989840472028,0.077
set27IT025,-0.0536815411704637,0.312
set27IT028,-1.1336760285277687,0.098
set27IT029,-0.677552982839979,0.198
set27IT030,-0.1443822698105053,-0.001
set27IT031,0.0090556732827423,0.089
set27IT032,-0.0997480859271536,0.021
set27IT033,-0.4004335367174877,0.152
set27IT034,0.0095291049739084,-0.045
set27IT035,0.0644437093067026,0.124
set27IT036,-0.0482943718742448,0.004
set27IT037,-0.2542591058538803,0.167
set27IT038,-0.3678254750806645,0.155
set27IT039,-0.2687626547973443,-0.035
set27IT040,-0.2099001966555111,0.109
set27IT041,-0.2543327505617855,0.183
set27IT042,-0.2939466093178883,0.217
set27IT043,-0.4269467925232583,-0.013
set27IT044,-0.1583849980505871,0.222
set27IT045,-0.349772335450641,0.047
set27IT046,0.0305734019868161,0.118
set27IT047,-0.3740111929320724,-0.002
set27IT048,-0.1630108514633502,0.212
set27IT049,-0.2260263107108779,-0.034
set27IT050,-0.0508751845144216,-0.064
set27IT051,-0.392730198623083,0.059
set27IT052,-0.1583945467424329,-0.073
set27IT053,-0.5796081978631222,0.061
set27IT054,-0.5014939426284205,0.092
set27IT055,-0.1725119984092529,0.049
set27IT056,-0.4657992632889519,0.023
set27IT057,-0.3280495683782295,0.069
set27IT058,-0.4886257556969492,0.202
set27IT059,-0.3387496151956902,-0.079
set27IT060,-0.2018715709153329,0.081
set27IT061,0.1084539011667031,0.034
set27IT062,-0.6824927269421157,0.115
set27IT063,-0.4355675720309676,0.084
set27IT064,-0.2486569309881142,0.066
set27IT065,-0.385828748783148,0.06
set27IT066,0.1624258265881734,-0.032
set27IT067,0.0611709238940696,0.123
set27IT068,-0.6477660638449383,0.146
set27IT069,-0.0305710817858925,0.131
set27IT070,-0.0314425725326607,0.185
set27IT071,-0.2392331340751844,0.035
set27IT072,-0.1764598094476263,-0.04
set27IT073,-0.0070477656672566,0.091
set28IT003,-0.5780830940646665,0.035
set28IT004,-0.2637552278505518,-0.026
set28IT005,-0.0041584371668694,-0.016
set28IT006,-0.0698078657778967,-0.042
set28IT007,0.1677965280117719,-0.189
set28IT008,-0.3714078814021164,-0.005
set28IT009,-0.3604255437368066,0.106
set28IT010,-0.2940484667992894,-0.188
set28IT013,-0.5020963189871696,-0.107
set28IT014,-0.0797114659876976,-0.051
set28IT017,-0.2371644016427119,-0.104
set28IT018,-0.3185412477045228,0.055
set28IT021,-0.0081656702074074,-0.074
set28IT022,-0.3921136394176425,-0.042
set28IT023,-0.5687063415869452,-0.124
set28IT024,0.0578581959053672,0.12
set28IT027,-0.6192311057436518,-0.178
set28IT028,-0.5440530613689442,0.056
set28IT029,-0.1761633240920004,-0.161
set28IT030,0.340832350408881,-0.24
set28IT031,-0.2624671458123833,-0.067
set28IT032,0.2290156169245532,0.054
set28IT035,-0.2459750288312421,-0.084
set28IT036,0.353729927952952,-0.078
set28IT037,-0.2083689970227269,-0.143
set28IT038,-0.3177143409142886,-0.049
set28IT039,-0.0529108446148456,-0.034
set28IT040,-0.119209550869416,-0.004
set28IT041,-0.1480569401104739,0.009
set28IT042,-0.2577148346337898,-0.057
set28IT045,-0.386626525642378,-0.323
set28IT046,-0.5719397432166993,-0.129
set29IT004,-0.4094153390841096,0.351
set29IT005,-0.2664032551891362,0.089
set29IT006,-0.0693309857931697,-0.056
set29IT007,-0.0293050873691307,0.172
set29IT014,-0.215683359373601,0.246
set29IT015,-0.3143875268774759,0.067
set29IT057,-0.3481654538468189,-0.102
set29IT058,0.2344950016337477,0.084
set100IT008,0.0022139619041314,0.152
set100IT009,-0.2339956597156502,0.08
set100IT010,-0.2326125533426992,0.003
set100IT011,-0.3500627384823727,0.16
set100IT012,0.0103504185366996,0.004
set100IT013,0.2243699756037227,-0.054
set100IT014,-0.3595655914510568,0.154
set100IT015,-0.1176585939978766,0.072
set100IT016,0.2401926563009572,0.134
set100IT017,0.3068538332963765,0.172
set100IT018,0.1576469229291973,0.114
set100IT019,0.7095262864867626,-0.026
set100IT020,0.2482739243831294,0.157
set100IT021,-0.0195146410251653,0.169
set100IT022,0.8418649272799601,0.036
set100IT023,-0.4388643623544449,0.186
set100IT024,-0.654151941670146,0.007
set100IT025,-0.1102227787300775,0.023
set100IT026,-0.3545017003376141,0.174
set100IT027,-0.4495361362872636,0.179
set100IT028,-0.174405669814247,0.021
set100IT029,-0.1426973365453061,0.182
set100IT030,-0.4106480029085169,0.034
set100IT031,0.1752435910485763,0.037
set100IT032,-0.3279806761163507,0.123
set100IT033,-0.491210416339602,0.052
set100IT034,0.0253998549285064,0.091
set100IT035,-0.2005764226807809,0.279
set100IT036,-0.4166585131538924,0.108
set100IT037,0.1560056131826316,-0.069
set100IT038,0.3823752046865616,-0.128
set100IT039,0.1394095835284582,0.329
set100IT040,0.5656959430382026,0.341
set100IT041,-0.150170703589976,0.267
set100IT042,-0.1658457099639103,0.084
set100IT043,0.3295090786549538,-0.032
set100IT044,0.0476619222112534,0.157
set100IT045,-0.5859307007386992,0.1
set100IT046,0.0986811202447656,0.065
set101IT007,-0.3070322599144951,0.014
set101IT008,0.3828081000970244,0.127
set101IT009,-0.4955190855404872,0.151
set101IT013,1.466336993600929,-0.048
set101IT014,2.0496678109579687,0.238
set101IT015,2.215255361613861,0.182
set101IT016,-0.1446294341716618,-0.059
set101IT017,0.0802964991743779,0.044
set101IT018,-0.307730487006205,0.2
set101IT019,0.0634649908526814,0.051
set101IT020,0.8930204147240006,0.146
set101IT021,0.8118608964653494,0.158
set101IT022,1.277594696615075,0.022
set101IT023,1.0656523732265235,0.148
set101IT024,0.918988911097024,0.176
set101IT025,0.1332502883689483,0.075
set101IT026,0.4852726783184042,0.229
set101IT027,1.1724464007539137,0.094
set101IT028,0.5478995167692577,-0.061
set101IT029,0.36260700816529,0.12
set101IT030,0.4149578852446726,0.123
set101IT031,0.568756410552289,-0.022
set101IT032,1.2691898334904508,0.127
set101IT033,1.3500442969180937,0.098
set101IT034,1.3729553235039238,-0.016
set101IT035,1.3114306983273931,0.116
set101IT036,1.2465019053310535,-0.023
set101IT037,-0.2629946991072398,0.003
set101IT038,-0.0982180129420896,0.172
set101IT039,-0.0844387628296454,0.19
set101IT040,-0.2672803415693164,0.0
set101IT041,-0.0962987247931362,0.067
set101IT042,0.0188375437437935,0.081
set101IT043,-0.0844868586531112,-0.016
set101IT044,0.2405646385740056,0.115
set101IT045,-0.5580450366326017,0.188
set101IT046,0.1009929644959779,0.011
set101IT047,0.2496745094795571,0.083
set101IT048,0.3007600707397087,0.172
